Scope;Source Component Description;Photo File;Note
STARTER;PALET;01_STARTER_GENERAL/STR_001_EURO_PALLET.jpg;Euro pallet
STARTER;PALET STANDART;01_STARTER_GENERAL/STR_001_EURO_PALLET.jpg;Euro pallet
STARTER;EURO PALLET;01_STARTER_GENERAL/STR_001_EURO_PALLET.jpg;Euro pallet
STARTER;KOSEBENT;01_STARTER_GENERAL/STR_002_LONG_EDGE_PROTECTOR.jpg;Edge protector
STARTER;KARTON KOSEBENT;01_STARTER_GENERAL/STR_003_CORNER_GUARD.jpg;Corner
STARTER;KOSE;01_STARTER_GENERAL/STR_003_CORNER_GUARD.jpg;Corner
STARTER;TOKAS;01_STARTER_GENERAL/STR_004_STRAP_TENSIONER_BUCKLE.jpg;Buckle
STARTER;GERGI;01_STARTER_GENERAL/STR_004_STRAP_TENSIONER_BUCKLE.jpg;Tensioner
STARTER;KLIPS;01_STARTER_GENERAL/STR_005_STRAP_METAL_CLIP.jpg;Metal clip
STARTER;CLIP;01_STARTER_GENERAL/STR_005_STRAP_METAL_CLIP.jpg;Metal clip
STARTER;SIGNODE;01_STARTER_GENERAL/STR_006_BLACK_PLASTIC_STRAP.jpg;Strap
STARTER;CEMBER;01_STARTER_GENERAL/STR_006_BLACK_PLASTIC_STRAP.jpg;Strap
STARTER;YESIL CEMBER;01_STARTER_GENERAL/STR_007_GREEN_PLASTIC_STRAP.jpg;Green strap
STARTER;STRECH;01_STARTER_GENERAL/STR_009_STRETCH_FILM_ROLL.jpg;Stretch film
STARTER;STRETCH;01_STARTER_GENERAL/STR_009_STRETCH_FILM_ROLL.jpg;Stretch film
STARTER;STRECH PED;01_STARTER_GENERAL/STR_010_STRETCH_PAD_SHEET.jpg;Stretch pad
STARTER;STRETCH PAD;01_STARTER_GENERAL/STR_010_STRETCH_PAD_SHEET.jpg;Stretch pad
STARTER;STRAFOR;01_STARTER_GENERAL/STR_014_FOAM_BLOCK.jpg;Foam
STARTER;KOPUK;01_STARTER_GENERAL/STR_014_FOAM_BLOCK.jpg;Foam
STARTER;PLASTIK KOSE;01_STARTER_GENERAL/STR_015_YELLOW_PLASTIC_CORNER.jpg;Plastic corner
STARTER;SHRINK;01_STARTER_GENERAL/STR_018_SHRINK_FILM_ROLL.jpg;Shrink
STARTER;PETEK;01_STARTER_GENERAL/STR_019_HONEYCOMB_BOARD.jpg;Honeycomb
STARTER;HONEYCOMB;01_STARTER_GENERAL/STR_019_HONEYCOMB_BOARD.jpg;Honeycomb
STARTER;KARTON SEPERATOR;01_STARTER_GENERAL/STR_020_CARDBOARD_INTERLAYER.jpg;Separator
STARTER;SEPERATOR;01_STARTER_GENERAL/STR_020_CARDBOARD_INTERLAYER.jpg;Separator
STARTER;INTERLAYER;01_STARTER_GENERAL/STR_020_CARDBOARD_INTERLAYER.jpg;Separator
STARTER;BANT;01_STARTER_GENERAL/STR_021_PACKING_TAPE.jpg;Tape
STARTER;TAPE;01_STARTER_GENERAL/STR_021_PACKING_TAPE.jpg;Tape
STARTER;POSET;01_STARTER_GENERAL/STR_022_CLEAR_PLASTIC_BAG.jpg;Bag
STARTER;PLASTIC BAG;01_STARTER_GENERAL/STR_022_CLEAR_PLASTIC_BAG.jpg;Bag
STARTER;ANTI SLIP;01_STARTER_GENERAL/STR_023_ANTI_SLIP_PAD.jpg;Anti-slip
STARTER;KAYMAZ;01_STARTER_GENERAL/STR_023_ANTI_SLIP_PAD.jpg;Anti-slip
INDUSTRIAL;YONGA;02_INDUSTRIAL/IND_001_CHIPBOARD_PANEL.jpg;Chipboard
INDUSTRIAL;CHIPBOARD;02_INDUSTRIAL/IND_001_CHIPBOARD_PANEL.jpg;Chipboard
INDUSTRIAL;OSB;02_INDUSTRIAL/IND_001_CHIPBOARD_PANEL.jpg;Panel
INDUSTRIAL;TAKOZ;02_INDUSTRIAL/IND_002_TIMBER_BLOCK.jpg;Timber block
INDUSTRIAL;TIMBER;02_INDUSTRIAL/IND_002_TIMBER_BLOCK.jpg;Timber
INDUSTRIAL;AHŞAP;02_INDUSTRIAL/IND_002_TIMBER_BLOCK.jpg;Timber
INDUSTRIAL;AHSAP;02_INDUSTRIAL/IND_002_TIMBER_BLOCK.jpg;Timber
INDUSTRIAL;VENT;02_INDUSTRIAL/IND_003_SHIPPING_VENT_PLUG.jpg;Vent plug
INDUSTRIAL;TAPAS;02_INDUSTRIAL/IND_003_SHIPPING_VENT_PLUG.jpg;Plug
INDUSTRIAL;SHIPPING;02_INDUSTRIAL/IND_003_SHIPPING_VENT_PLUG.jpg;Plug
INDUSTRIAL;TERMINAL;02_INDUSTRIAL/IND_004_M10_YELLOW_TERMINAL_CAP.jpg;Terminal cap
INDUSTRIAL;M10;02_INDUSTRIAL/IND_004_M10_YELLOW_TERMINAL_CAP.jpg;Terminal cap
INDUSTRIAL;KAPAK;02_INDUSTRIAL/IND_004_M10_YELLOW_TERMINAL_CAP.jpg;Cap
INDUSTRIAL;SAF SU;02_INDUSTRIAL/IND_005_DEIONIZED_WATER_JERRYCAN_20L.jpg;Water
INDUSTRIAL;BIDON;02_INDUSTRIAL/IND_005_DEIONIZED_WATER_JERRYCAN_20L.jpg;Jerrycan
INDUSTRIAL;DEIONIZED;02_INDUSTRIAL/IND_005_DEIONIZED_WATER_JERRYCAN_20L.jpg;Water
INDUSTRIAL;DOLUM;02_INDUSTRIAL/IND_005_DEIONIZED_WATER_JERRYCAN_20L.jpg;Water
INDUSTRIAL;CORROSIVE;02_INDUSTRIAL/IND_006_CORROSIVE_LABEL.jpg;Corrosive
INDUSTRIAL;ASINDIRICI;02_INDUSTRIAL/IND_006_CORROSIVE_LABEL.jpg;Corrosive
INDUSTRIAL;END.2;02_INDUSTRIAL/IND_007_END2_LABEL.jpg;END2
INDUSTRIAL;END2;02_INDUSTRIAL/IND_007_END2_LABEL.jpg;END2
INDUSTRIAL;ETIKET;02_INDUSTRIAL/IND_008_RECYCLE_CE_LABEL.jpg;Label
INDUSTRIAL;LABEL;02_INDUSTRIAL/IND_008_RECYCLE_CE_LABEL.jpg;Label
INDUSTRIAL;TUM ETIKETLER;02_INDUSTRIAL/IND_008_RECYCLE_CE_LABEL.jpg;Labels
INDUSTRIAL;PALET;01_STARTER_GENERAL/STR_001_EURO_PALLET.jpg;Pallet cross
INDUSTRIAL;STRECH;01_STARTER_GENERAL/STR_009_STRETCH_FILM_ROLL.jpg;Stretch cross
INDUSTRIAL;STRECH PED;01_STARTER_GENERAL/STR_010_STRETCH_PAD_SHEET.jpg;Pad cross
INDUSTRIAL;SIGNODE;01_STARTER_GENERAL/STR_006_BLACK_PLASTIC_STRAP.jpg;Strap cross
INDUSTRIAL;CEMBER;01_STARTER_GENERAL/STR_006_BLACK_PLASTIC_STRAP.jpg;Strap cross
CONTAINER;20FT;03_CONTAINER_LOADING/CNT_001_20FT_CONTAINER.jpg;20ft
CONTAINER;40FT;03_CONTAINER_LOADING/CNT_002_40FT_CONTAINER.jpg;40ft
CONTAINER;KONTEYNER;03_CONTAINER_LOADING/CNT_001_20FT_CONTAINER.jpg;Container
CONTAINER;PALET;03_CONTAINER_LOADING/CNT_003_EURO_PALLET.jpg;Pallet
CONTAINER;OSB;03_CONTAINER_LOADING/CNT_004_OSB_BOARD_PANEL.jpg;OSB
CONTAINER;KARTON SEPERATOR;03_CONTAINER_LOADING/CNT_005_CARDBOARD_SEPARATOR.jpg;Separator
CONTAINER;SEPERATOR;03_CONTAINER_LOADING/CNT_005_CARDBOARD_SEPARATOR.jpg;Separator
CONTAINER;HAVA YASTIGI;03_CONTAINER_LOADING/CNT_006_DUNNAGE_AIR_BAG.jpg;Air bag
CONTAINER;DUNNAGE;03_CONTAINER_LOADING/CNT_006_DUNNAGE_AIR_BAG.jpg;Air bag
CONTAINER;BAGLAMA HALATI;03_CONTAINER_LOADING/CNT_007_LASHING_ROPE.jpg;Lashing
CONTAINER;HALAT;03_CONTAINER_LOADING/CNT_007_LASHING_ROPE.jpg;Rope
CONTAINER;LASHING;03_CONTAINER_LOADING/CNT_007_LASHING_ROPE.jpg;Rope
CONTAINER;HALAT TOKASI;03_CONTAINER_LOADING/CNT_008_ROPE_BUCKLE.jpg;Buckle
CONTAINER;TOKAS;03_CONTAINER_LOADING/CNT_008_ROPE_BUCKLE.jpg;Buckle
CONTAINER;PALET SABITLEME;03_CONTAINER_LOADING/CNT_009_PALLET_FIXING_WEDGE.jpg;Fixing wedge
CONTAINER;SABITLEME TAKOZU;03_CONTAINER_LOADING/CNT_009_PALLET_FIXING_WEDGE.jpg;Fixing
CONTAINER;UCGEN TAKOZ;03_CONTAINER_LOADING/CNT_010_TRIANGULAR_WOODEN_WEDGE.jpg;Triangle
CONTAINER;TRIANGULAR;03_CONTAINER_LOADING/CNT_010_TRIANGULAR_WOODEN_WEDGE.jpg;Triangle
CONTAINER;PLYWOOD;03_CONTAINER_LOADING/CNT_011_HEAT_TREATED_PLYWOOD_LID.jpg;Plywood lid
CONTAINER;KAPAK;03_CONTAINER_LOADING/CNT_011_HEAT_TREATED_PLYWOOD_LID.jpg;Lid
CONTAINER;HAMBURG;03_CONTAINER_LOADING/CNT_012_HAMBURG_FIXING_TIMBER_PLANK.jpg;Hamburg timber
CONTAINER;YANICI;03_CONTAINER_LOADING/CNT_013_FLAMMABLE_HAZARD_LABEL.jpg;Flammable
CONTAINER;FLAMMABLE;03_CONTAINER_LOADING/CNT_013_FLAMMABLE_HAZARD_LABEL.jpg;Flammable
CONTAINER;ETIKET;03_CONTAINER_LOADING/CNT_013_FLAMMABLE_HAZARD_LABEL.jpg;Label
COMPONENT;PALET;04_COMPONENT_SPARE/CMP_S02_EURO_PALLET.jpg;Default single-row pallet
COMPONENT;KARTON KUTU;04_COMPONENT_SPARE/CMP_S01_SINGLE_ROW_CARTON.jpg;Carton
COMPONENT;KARTON;04_COMPONENT_SPARE/CMP_S01_SINGLE_ROW_CARTON.jpg;Carton
COMPONENT;POSET;04_COMPONENT_SPARE/CMP_S03_CLEAR_PLASTIC_BAG.jpg;Bag
COMPONENT;ETIKET;04_COMPONENT_SPARE/CMP_S06_SHIPPING_LABEL.jpg;Label
COMPONENT;BANT;04_COMPONENT_SPARE/CMP_S04_PACKING_TAPE.jpg;Tape
COMPONENT;STRECH;04_COMPONENT_SPARE/CMP_S05_STRETCH_FILM.jpg;Stretch
COMPONENT;STRETCH;04_COMPONENT_SPARE/CMP_S05_STRETCH_FILM.jpg;Stretch
COMPONENT_1ROW;PALET;04_COMPONENT_SPARE/CMP_S02_EURO_PALLET.jpg;Tek sira
COMPONENT_1ROW;KARTON;04_COMPONENT_SPARE/CMP_S01_SINGLE_ROW_CARTON.jpg;Tek sira
COMPONENT_1ROW;POSET;04_COMPONENT_SPARE/CMP_S03_CLEAR_PLASTIC_BAG.jpg;Tek sira
COMPONENT_1ROW;ETIKET;04_COMPONENT_SPARE/CMP_S06_SHIPPING_LABEL.jpg;Tek sira
COMPONENT_1ROW;BANT;04_COMPONENT_SPARE/CMP_S04_PACKING_TAPE.jpg;Tek sira
COMPONENT_1ROW;STRECH;04_COMPONENT_SPARE/CMP_S05_STRETCH_FILM.jpg;Tek sira
COMPONENT_2ROW;PALET;04_COMPONENT_SPARE/CMP_D02_EURO_PALLET.jpg;Cift sira
COMPONENT_2ROW;KARTON;04_COMPONENT_SPARE/CMP_D01_DOUBLE_ROW_CARTON.jpg;Cift sira
COMPONENT_2ROW;POSET;04_COMPONENT_SPARE/CMP_D03_CLEAR_PLASTIC_BAG.jpg;Cift sira
COMPONENT_2ROW;ETIKET;04_COMPONENT_SPARE/CMP_D06_SHIPPING_LABEL.jpg;Cift sira
COMPONENT_2ROW;BANT;04_COMPONENT_SPARE/CMP_D04_PACKING_TAPE.jpg;Cift sira
COMPONENT_2ROW;STRECH;04_COMPONENT_SPARE/CMP_D05_STRETCH_FILM.jpg;Cift sira
COMMON;PALET;01_STARTER_GENERAL/STR_001_EURO_PALLET.jpg;Common pallet
COMMON;STRECH;01_STARTER_GENERAL/STR_009_STRETCH_FILM_ROLL.jpg;Common stretch
COMMON;ETIKET;02_INDUSTRIAL/IND_008_RECYCLE_CE_LABEL.jpg;Common label
